credential_id,credential_name,client_id,client_name,markup_modifier,bod_from,bod_to,cid_from,cid_to,dynamic
3737,Tour 10,180,Tour 10,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
4853,Rickytravel (SMYROOMS),167,Rickytravel,0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5134,W2M PRO,165,World2Meet,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34505,W2M_RET&PCK,165,World2Meet,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
4115,W2M DMC_B2B (NT Incoming),165,World2Meet,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
20712,W2M NewBlue,165,World2Meet,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
5612,W2M B2C,165,World2Meet,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11730,QUEHOT,163,Veturis,-0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
11732,VETURIS B2BXML-L,163,Veturis,-0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
6015,Veturis B2C,163,Veturis,-0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
11731,VETURIS B2BXML-H,163,Veturis,-0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
3713,Veturis Travel,163,Veturis,-0.5,24/10/2024,30/10/2024,24/10/2024,28/02/2025,FALSE
11617,Buscounchollo,159,Amimir.com,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34635,Amimir Member Only,159,Amimir.com,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33438,Amimir App,159,Amimir.com,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11808,Esquiades PKG,159,Amimir.com,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
4849,Amimir.com,159,Amimir.com,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33439,Amimir Mobile,159,Amimir.com,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33607,Amimir CUG,159,Amimir.com,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11127,Altura Paquete,158,Altura,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
4651,Altura,158,Altura,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
11156,ABREU RETAIL,155,Abreu,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
4194,Abreu,155,Abreu,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
3585,RESTEL B2B,151,Restel,0.25,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
4841,RESTEL B2C,151,Restel,0.25,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
10132,RESTEL RETAILERS,151,Restel,0.25,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33268,RESTEL DP,151,Restel,0.25,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33637,Central de Reservas Meta,146,Central de Reservas,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33539,Central de Reservas Mobile,146,Central de Reservas,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
21216,Central de Reservas Retail,146,Central de Reservas,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
34127,Central de Reservas Agencias,146,Central de Reservas,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
3693,Central de Reservas,146,Central de Reservas,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
30715,Destinations of the World WH B2C,126,Destinations Of The World,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
30701,Destinations of the World WH B2B,126,Destinations Of The World,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
30712,Destinations of the World WH Retail,126,Destinations Of The World,0.2,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
8924,Letsfly Limited B2C,658,Letsfly Limited,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
33529,LETSFLY LIMITED_B2B,658,Letsfly Limited,0.3,24/10/2024,30/10/2024,24/10/2024,28/02/2025,TRUE
