credential_id,credential_name,client_id,client_name,dynamic_commission,action
33017,Nautalia_541_Ferrol,1555,NAUTALIA VIAJES,TRUE,-0.5
33019,Nautalia_539_Lugo,1555,NAUTALIA VIAJES,TRUE,-0.5
33020,Nautalia_538_VilagarciaDeArousa,1555,NAUTALIA VIAJES,TRUE,-0.5
33021,Nautalia_536_GruposACoru̱a,1555,NAUTALIA VIAJES,TRUE,-0.5
33022,Nautalia_521_Vigo,1555,NAUTALIA VIAJES,TRUE,-0.5
33023,Nautalia_514_SantiagoDeCompostela,1555,NAUTALIA VIAJES,TRUE,-0.5
33024,Nautalia_511_ACoru̱a,1555,NAUTALIA VIAJES,TRUE,-0.5
33025,Nautalia_628_Plasencia,1555,NAUTALIA VIAJES,TRUE,-0.5
33026,Nautalia_445_MolletDelValles,1555,NAUTALIA VIAJES,TRUE,-0.5
33027,Nautalia_785_Aranjuez,1555,NAUTALIA VIAJES,TRUE,-0.5
33028,Nautalia_674_ArgandaDelRey,1555,NAUTALIA VIAJES,TRUE,-0.5
33029,Nautalia_435_SantCugatDelValles,1555,NAUTALIA VIAJES,TRUE,-0.5
33030,Nautalia_424_BarberaDelValles,1555,NAUTALIA VIAJES,TRUE,-0.5
33031,Nautalia_418_Tarrasa,1555,NAUTALIA VIAJES,TRUE,-0.5
33032,Nautalia_434_Tarrasa,1555,NAUTALIA VIAJES,TRUE,-0.5
33033,Nautalia_771_Parla,1555,NAUTALIA VIAJES,TRUE,-0.5
33034,Nautalia_442_Manresa,1555,NAUTALIA VIAJES,TRUE,-0.5
33035,Nautalia_673_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33037,Nautalia_672_GruposMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33038,Nautalia_635_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33039,Nautalia_425_Mataro,1555,NAUTALIA VIAJES,TRUE,-0.5
33040,Nautalia_671_GruposSanSebastianDeLosReyes,1555,NAUTALIA VIAJES,TRUE,-0.5
33041,Nautalia_670_GruposMostoles,1555,NAUTALIA VIAJES,TRUE,-0.5
33042,Nautalia_666_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
